method,N,K,J,rep,recovery,time_s
EM-MIP-50,1000,3,10,29,1.000000,35.552
EM-MIP-50,1000,3,10,30,0.966667,39.486
EM-MIP-50,1000,3,10,31,0.933333,37.102
EM-MIP-50,1000,3,10,32,1.000000,43.458
EM-MIP-50,1000,3,10,33,0.966667,43.627
EM-MIP-50,1000,3,10,34,0.966667,35.225
EM-MIP-50,1000,3,10,35,0.966667,39.115
EM-MIP-50,1000,3,10,36,0.966667,37.600
EM-MIP-50,1000,3,10,37,0.966667,34.739
EM-MIP-50,1000,3,10,38,1.000000,35.452
EM-MIP-50,1000,3,10,39,1.000000,40.830
EM-MIP-50,1000,3,10,40,1.000000,37.397
EM-MIP-50,1000,3,10,41,0.966667,41.493
EM-MIP-50,1000,3,10,42,1.000000,41.822
EM-MIP-50,1000,3,10,43,0.966667,36.681
EM-MIP-50,1000,3,10,44,0.933333,35.377
EM-MIP-50,1000,3,10,45,0.966667,35.738
EM-MIP-50,1000,3,10,46,1.000000,34.835
EM-MIP-50,1000,3,10,47,1.000000,37.927
EM-MIP-50,1000,3,10,48,1.000000,39.372
EM-MIP-50,1000,3,10,49,0.966667,39.696
EM-MIP-50,1000,3,10,50,0.966667,42.858
EM-MIP-50,1000,3,10,51,0.966667,40.496
EM-MIP-50,1000,3,10,52,0.933333,35.350
EM-MIP-50,1000,3,10,53,1.000000,38.444
EM-MIP-50,1000,3,10,54,0.966667,39.326
EM-MIP-50,1000,3,10,55,1.000000,38.825
EM-MIP-50,1000,3,10,56,0.966667,40.059
EM-MIP-50,1000,3,10,57,0.933333,40.881
EM-MIP-50,1000,3,10,58,1.000000,41.347
EM-MIP-50,1000,3,10,59,1.000000,40.032
EM-MIP-50,1000,3,10,60,0.966667,40.424
EM-MIP-50,1000,3,10,61,0.900000,37.309
EM-MIP-50,1000,3,10,62,1.000000,38.602
EM-MIP-50,1000,3,10,63,0.933333,33.502
EM-MIP-50,1000,3,10,64,0.966667,39.036
EM-MIP-50,1000,3,10,65,1.000000,44.424
EM-MIP-50,1000,3,10,66,1.000000,39.591
EM-MIP-50,1000,3,10,67,0.933333,40.319
EM-MIP-50,1000,3,10,68,0.966667,39.202
EM-MIP-50,1000,3,10,69,0.966667,35.830
EM-MIP-50,1000,3,10,70,1.000000,36.174
EM-MIP-50,1000,3,10,71,0.933333,34.203
EM-MIP-50,1000,3,10,72,0.866667,40.885
EM-MIP-50,1000,3,10,73,1.000000,37.234
EM-MIP-50,1000,3,10,74,0.966667,37.569
EM-MIP-50,1000,3,10,75,1.000000,38.830
EM-MIP-50,1000,3,10,76,1.000000,42.828
EM-MIP-50,1000,3,10,77,0.966667,40.047
EM-MIP-50,1000,3,10,78,0.933333,38.202
EM-MIP-50,1000,3,10,79,1.000000,39.710
EM-MIP-50,1000,3,10,80,1.000000,46.404
EM-MIP-50,1000,3,10,81,0.966667,42.940
EM-MIP-50,1000,3,10,82,1.000000,35.835
EM-MIP-50,1000,3,10,83,0.966667,37.949
EM-MIP-50,1000,3,10,84,1.000000,35.107
EM-MIP-50,1000,3,10,85,0.966667,46.851
EM-MIP-50,1000,3,10,86,0.966667,36.316
EM-MIP-50,1000,3,10,87,1.000000,32.807
EM-MIP-50,1000,3,10,88,0.966667,36.060
EM-MIP-50,1000,3,10,89,0.900000,43.105
EM-MIP-50,1000,3,10,90,1.000000,44.279
EM-MIP-50,1000,3,10,91,0.966667,34.117
EM-MIP-50,1000,3,10,92,1.000000,33.474
EM-MIP-50,1000,3,10,93,1.000000,42.987
EM-MIP-50,1000,3,10,94,1.000000,38.056
EM-MIP-50,1000,3,10,95,1.000000,35.430
EM-MIP-50,1000,3,10,96,0.966667,43.072
EM-MIP-50,1000,3,10,97,0.933333,32.945
EM-MIP-50,1000,3,10,98,1.000000,41.261
EM-MIP-50,1000,3,10,99,0.933333,34.899
EM-MIP-50,1000,3,10,100,0.966667,44.135
